fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
ABN Amro Bank NV ↗,High,13300.346541202727,747.1428593800623,6%
ABN Amro Bank NV ↗,Low,13300.346541202727,6017.057439437425,45%
ABN Amro Bank NV ↗,Medium,13300.346541202727,6536.146242385244,49%
ANZ Group Holdings Ltd ↗,High,22765.589810113128,239.6533831472442,1%
ANZ Group Holdings Ltd ↗,Low,22765.589810113128,10999.368164452913,48%
ANZ Group Holdings Ltd ↗,Medium,22765.589810113128,11526.568262512896,51%
BNP Paribas SA ↗,High,65730.73346843949,1342.9700167574683,2%
BNP Paribas SA ↗,Low,65730.73346843949,35668.621863174805,54%
BNP Paribas SA ↗,Medium,65730.73346843949,28719.141588507333,44%
BTG Pactual G7 Holding SA ↘,High,10513.840970620065,6790.13068964258,65%
BTG Pactual G7 Holding SA ↘,Low,10513.840970620065,1988.2084098626344,19%
BTG Pactual G7 Holding SA ↘,Medium,10513.840970620065,1735.5018711148496,17%
Banco Bilbao Vizcaya Argentaria SA ↗,High,16136.89025608958,156.8382417716988,1%
Banco Bilbao Vizcaya Argentaria SA ↗,Low,16136.89025608958,7938.336406608442,49%
Banco Bilbao Vizcaya Argentaria SA ↗,Medium,16136.89025608958,8041.715607709429,50%
Banco Bradesco SA ↘,High,19364.50573235796,9042.200306827941,47%
Banco Bradesco SA ↘,Low,19364.50573235796,5016.885168391053,26%
Banco Bradesco SA ↘,Medium,19364.50573235796,5305.420257138986,27%
Banco Santander SA ↗,High,44079.24416875422,7103.944633751357,16%
Banco Santander SA ↗,Low,44079.24416875422,23790.76423272617,54%
Banco Santander SA ↗,Medium,44079.24416875422,13184.535302276743,30%
Banco do Brasil SA* ↘,High,12205.15017161612,6251.854667035989,51%
Banco do Brasil SA* ↘,Low,12205.15017161612,3321.732527103937,27%
Banco do Brasil SA* ↘,Medium,12205.15017161612,2631.562977476202,22%
Bank VTB PAO* →,Low,14852.022908332476,14852.022908332476,100%
Bank of America Corp ↗,High,73696.33357235757,1822.974579584552,2%
Bank of America Corp ↗,Low,73696.33357235757,32174.417756343304,44%
