manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Africa,Equity deals,Low,10.750691207710869,"Africa 
(US$10,348m)","Equity deals 
(US$89,513m)"
Africa,Loan deals,High,135.60853538335869,"Africa 
(US$10,348m)","Loan deals 
(US$1,452,838m)"
Africa,Loan deals,Low,9730.190521833283,"Africa 
(US$10,348m)","Loan deals 
(US$1,452,838m)"
Africa,Loan deals,Medium,471.52972164739276,"Africa 
(US$10,348m)","Loan deals 
(US$1,452,838m)"
Asia,Bond deals,High,894.0778215898296,"Asia 
(US$596,391m)","Bond deals 
(US$704,540m)"
Asia,Bond deals,Low,107025.56499594118,"Asia 
(US$596,391m)","Bond deals 
(US$704,540m)"
Asia,Bond deals,Medium,22397.604949730325,"Asia 
(US$596,391m)","Bond deals 
(US$704,540m)"
Asia,Equity deals,High,0,"Asia 
(US$596,391m)","Equity deals 
(US$89,513m)"
Asia,Equity deals,Low,13368.808004246383,"Asia 
(US$596,391m)","Equity deals 
(US$89,513m)"
Asia,Equity deals,Medium,4718.09186112254,"Asia 
(US$596,391m)","Equity deals 
(US$89,513m)"
Asia,Loan deals,High,6098.438949109293,"Asia 
(US$596,391m)","Loan deals 
(US$1,452,838m)"
Asia,Loan deals,Low,356219.773238203,"Asia 
(US$596,391m)","Loan deals 
(US$1,452,838m)"
Asia,Loan deals,Medium,85668.55538884483,"Asia 
(US$596,391m)","Loan deals 
(US$1,452,838m)"
Europe,Bond deals,High,11413.016349209922,"Europe 
(US$881,074m)","Bond deals 
(US$704,540m)"
Europe,Bond deals,Low,210912.2185559209,"Europe 
(US$881,074m)","Bond deals 
(US$704,540m)"
Europe,Bond deals,Medium,92149.56824267781,"Europe 
(US$881,074m)","Bond deals 
(US$704,540m)"
Europe,Equity deals,High,3169.616231184559,"Europe 
(US$881,074m)","Equity deals 
(US$89,513m)"
Europe,Equity deals,Low,16783.002609082338,"Europe 
(US$881,074m)","Equity deals 
(US$89,513m)"
Europe,Equity deals,Medium,6909.21666426045,"Europe 
(US$881,074m)","Equity deals 
(US$89,513m)"
Europe,Loan deals,High,17794.433046260685,"Europe 
(US$881,074m)","Loan deals 
(US$1,452,838m)"
Europe,Loan deals,Low,244577.56759630475,"Europe 
(US$881,074m)","Loan deals 
(US$1,452,838m)"
Europe,Loan deals,Medium,277365.25299441855,"Europe 
(US$881,074m)","Loan deals 
(US$1,452,838m)"
Latin America and the Caribbean,Bond deals,High,18257.368001917577,"Latin America and the Caribbean 
(US$68,161m)","Bond deals 
(US$704,540m)"
Latin America and the Caribbean,Bond deals,Low,10689.554639920709,"Latin America and the Caribbean 
(US$68,161m)","Bond deals 
(US$704,540m)"
Latin America and the Caribbean,Bond deals,Medium,12790.9017435871,"Latin America and the Caribbean 
(US$68,161m)","Bond deals 
(US$704,540m)"
Latin America and the Caribbean,Equity deals,High,10959.190016280909,"Latin America and the Caribbean 
(US$68,161m)","Equity deals 
(US$89,513m)"
Latin America and the Caribbean,Equity deals,Low,224.07400321496706,"Latin America and the Caribbean 
(US$68,161m)","Equity deals 
(US$89,513m)"
